firstseason,lastseason,num_seasons,bioID,pos,height,weight,college,collegeOther,birthDate,deathDate
2,5,4,randase01w,G,69.0,164,Tennessee,,1979-02-07,
1,9,9,rasmukr01w,F,76.0,174,Michigan State,,1978-11-01,
8,8,1,raymost01w,G,65.0,139,Northern Illinois,,1985-01-15,
1,3,3,reddja01w,F,73.0,164,Washington,,1977-11-05,
1,3,3,reedbr01w,F,73.0,168,Southern Mississippi,,1977-02-17,
1,4,4,reidtr01w,F,71.0,150,North Carolina,,1976-11-01,
2,10,9,rileyru01w,C,77.0,198,Notre Dame,,1979-08-28,
1,4,4,rizzoje01w,G,66.0,146,Connecticut,,1974-05-15,
5,10,6,robinas01w,C,76.0,180,Tennessee,,1982-08-12,
1,8,8,robincr01w,G-F,71.0,155,SE Oklahoma State,,1974-01-22,
1,1,1,robinre01w,G,71.0,166,Virginia,,1978-06-15,
1,1,1,rolanja01w,G-F,73.0,167,Purdue,,1975-02-03,
9,9,1,rossad01w,G,68.0,142,Texas Christian,,1984-11-23,
9,9,1,rushle01w,F,73.0,175,Oklahoma,,1984-10-25,
1,8,8,salesny01w,G-F,72.0,184,Connecticut,,1976-05-10,
1,1,1,sampsch01w,G,71.0,175,Kansas,,1974-09-01,
1,9,9,samsh01w,G-F,72.0,160,Vanderbilt,,1974-05-05,
5,5,1,sanchis01w,G,70.0,152,,,1976-11-28,
8,8,1,sandeam01w,G,71.0,156,Hawai'i,,1983-06-05,
4,10,7,sanfona01w,F-C,76.0,200,Kansas,,1976-05-10,
9,10,2,sanniol01w,C,74.0,,West Virginia,,1986-08-21,
1,2,2,santoal01w,C,77.0,181,,,1973-12-02,
2,9,8,santoke01w,F,75.0,188,,,1979-11-10,
1,1,1,sarenra01w,C,78.0,222,,,1974-06-27,
1,3,3,sauerpa01w,C,76.0,203,Connecticut,,1977-12-08,
2,3,2,saundja01w,F,71.0,145,Texas A&M,,1979-08-21,
2,3,2,saureau01w,G,70.0,163,,,1976-10-31,
2,10,9,schumke01w,C,77.0,183,Connecticut,,1977-10-14,
2,4,3,schwege01w,G-F,72.0,160,Duke,,1979-01-31,
1,9,9,scottol01w,C,74.0,175,Stanford,,1976-08-05,
1,3,3,shakiel01w,F-C,75.0,190,,,1970-06-02,
4,10,7,sharpkb01w,G,69.0,145,Cincinnati,,1981-04-18,
8,9,2,shielas01w,G,70.0,155,SW Tennessee CC,,1985-07-15,
1,1,1,slaisma01w,G,68.0,173,Cincinnati,,1973-08-23,
5,5,1,slauggw01w,F,75.0,181,Tulane,,1980-07-01,
4,4,1,slavtge01w,G,73.0,160,Florida International,,1979-10-20,
4,5,2,smithai01w,F,74.0,173,Louisiana State,,1980-07-18,
9,10,2,smithbr01w,F-C,75.0,195,Stanford,,1984-04-30,
1,7,7,smithch02w,F,70.0,145,Stanford,,1975-05-02,
1,4,4,smithch03w,G,72.0,148,North Carolina,,1973-08-23,
7,9,3,smithcr01w,G,66.0,121,Iowa,,1984-03-12,
6,6,1,smithje01w,C,75.0,198,Michigan,,1982-04-10,
1,10,10,smithka01w,G-F,71.0,174,Ohio State,,1974-06-04,
7,9,3,smithki01w,F,73.0,158,Utah,,1984-05-07,
1,1,1,smithla01w,G,67.0,150,Mississippi State,,1974-02-06,
1,10,10,smithta01w,F-C,76.0,160,Iowa,,1977-04-01,
8,8,1,smithty01w,F,72.0,,Delaware,,1985-04-21,
9,9,1,smithwa01w,G,71.0,175,Duke,,1985-07-09,
6,10,5,snellbe01w,G,69.0,170,University of Sydney,,1981-10-01,
3,10,8,snowmi01w,C,77.0,158,Tennessee,,1980-03-20,
8,10,3,spencsi01w,G,75.0,183,Tennessee,,1985-03-07,
2,2,1,spornra01w,F,74.0,150,,,1968-05-26,
2,3,2,stafftr01w,F,73.0,180,California,,1970-11-11,
1,7,7,staleda01w,G,66.0,134,Virginia,,1970-05-04,
7,8,2,stansti01w,F-C,75.0,183,North Carolina State,,1983-01-16,
1,5,5,starbka01w,G,73.0,153,Stanford,,1975-07-30,
1,2,2,stedika01w,G-F,72.0,173,Stanford,,1967-12-11,
1,6,6,stepama01w,C,80.0,187,,,1979-02-23,
5,5,1,stephst01w,C,76.0,205,Texas,,1982-01-21,
5,7,3,stevema01w,F-C,75.0,166,Auburn,,1982-02-04,
2,3,2,stileja01w,G,68.0,144,Missouri State,,1978-12-21,
1,6,6,stinsan01w,G,70.0,158,North Carolina State,,1967-11-25,
1,3,3,stiresh01w,F,71.0,208,Kansas State,,1972-05-21,
2,2,1,stockta01w,F-C,74.0,165,Florida,,1979-01-29,
1,6,6,streiju01w,F,74.0,165,,,1972-05-14,
7,9,3,strotan01w,G-F,75.0,166,Connecticut,,1983-12-11,
6,7,2,summela01w,C,74.0,167,,,1983-12-13,
4,4,1,sun-mju01w,C,73.0,168,,,1974-10-12,
2,10,9,suttota01w,C,76.0,199,Rutgers,,1978-01-27,
9,10,2,swanike01w,G,67.0,144,Connecticut,,1986-08-10,
1,9,9,swoopsh01w,G-F,72.0,145,Texas Tech,,1971-03-25,
1,1,1,tateso01w,G,66.0,157,Arkansas State,,1971-09-07,
5,10,6,tauradi01w,G-F,72.0,172,Connecticut,,1982-06-11,
5,5,1,tayloli01w,C,80.0,200,UC Santa Barbara,,1981-05-20,
2,10,9,taylope01w,F,73.0,168,,,1981-05-24,
3,10,8,teaslni01w,G,72.0,169,North Carolina,,1979-03-22,
7,7,1,teilaza01w,C,79.0,170,Western Illinois,,1983-09-24,
7,9,3,terryka01w,F-C,75.0,183,Georgia Tech,,1983-10-21,
8,8,1,thomaca01w,F,75.0,200,Vanderbilt,,1985-10-31,
5,10,6,thomach01w,C,75.0,185,Georgia,,1982-08-14,
4,9,6,thomala01w,F,74.0,165,Mississippi State,,1981-07-06,
1,6,6,thomast01w,F,70.0,154,Michigan,,1978-08-29,
1,6,6,thompal01w,F,73.0,180,Texas Tech,,1976-06-30,
1,10,10,thompti01w,F,74.0,178,USC,,1975-02-10,
7,8,2,thorbsh01w,G,69.0,149,Utah,,1982-08-07,
4,10,7,thorner01w,G,70.0,150,Brigham Young,,1981-05-19,
1,1,1,threaro01w,G,67.0,150,Wisconsin,,1970-07-01,
5,8,4,tilliic01w,F-C,77.0,165,Duke,,1981-12-06,
1,2,2,timmsmi01w,G,67.0,132,,,1965-06-28,
10,10,1,tolivkr01w,G,67.0,130,Maryland,,1987-01-27,
1,2,2,torniel01w,F,73.0,160,,,1965-05-27,
2,2,1,torrele01w,C,75.0,171,Florida State,,1978-04-06,
1,1,1,traviti01w,G-F,71.0,145,Flordia,,1978-03-20,
1,1,1,tremich01w,G,66.0,142,Auburn,,1969-10-20,
7,10,4,turneba01w,G-F,72.0,172,Connecticut,,1984-06-08,
2,5,4,tuvicsl01w,C,76.0,194,,,1977-09-19,
4,5,2,udokamf01w,F,72.0,187,DePaul,,1976-06-16,
4,4,1,ujhelpe01w,F-C,76.0,200,South Carolina,,1980-12-17,
4,4,1,umoh-it01w,G,67.0,140,Clemson,,1977-02-21,
1,1,1,valdeam01w,F,73.0,160,,,1976-08-18,
1,5,5,vangomi01w,C,78.0,187,Duke,,1977-05-10,
10,10,1,vaughki01w,C,76.0,208,Rutgers,,1987-01-24,
9,9,1,vaughkr01w,F,73.0,160,Virginia Commonwealth,,1986-09-08,
2,3,2,vealkr01w,G,70.0,150,,,1981-07-24,
7,7,1,vilipda01w,F-C,76.0,207,,,1975-03-30,
1,7,7,vodicka01w,F-C,76.0,190,,,1972-12-19,
6,6,1,vodopna01w,F,75.0,181,,,1981-04-06,
10,10,1,walkeas01w,F-C,73.0,200,California,,1987-02-24,
3,8,6,walkeay01w,F,75.0,142,Louisiana Tech,,1979-09-10,
1,10,10,walkede01w,F,75.0,168,Virginia,,1977-11-28,
9,9,1,walkema01w,C,75.0,253,Pittsburgh,,1986-10-17,
2,3,2,walsema01w,F,74.0,184,Penn State,,1978-10-28,
1,4,4,washico01w,G,66.0,138,Notre Dame,,1971-01-17,
1,4,4,washito01w,F,71.0,160,Florida,,1977-12-30,
1,10,10,wautean01w,C,76.0,193,,,1980-10-12,
1,5,5,weathte01w,G,68.0,161,Louisiana Tech,,1965-12-08,
1,1,1,webbum01w,G-F,70.0,162,North Carolina State,,1975-06-26,
8,8,1,weberma01w,C,77.0,200,Iona,,1982-06-01,
6,9,4,weckeke01w,F,73.0,172,Kansas State,,1982-12-16,
5,10,6,whaleli01w,G,68.0,150,Minnesota,,1982-05-09,
5,6,2,whitede01w,F,71.0,180,Louisiana State,,1980-04-03,
9,10,2,whiteer01w,G,63.0,135,Louisiana State,,1986-08-26,
6,10,5,whiteta01w,G,67.0,154,Mississippi State,,1982-09-27,
2,3,2,whitiva01w,F-C,74.0,199,Stanford,,1972-04-09,
1,10,10,whitmta01w,F,74.0,190,Memphis,,1977-06-05,
2,2,1,whittje01w,C,77.0,176,,,1973-09-05,
9,10,2,whittkh01w,F,73.0,185,North Carolina State,,1986-08-05,
1,3,3,wickssu01w,F,75.0,191,Rutgers,,1966-11-26,
1,1,1,widemja01w,G,66.0,135,Stanford,,1975-10-16,
9,10,2,wiggica01w,G,71.0,154,Stanford,,1987-02-14,
7,9,3,wilkibr01w,C,75.0,185,Iowa State,,1983-06-15,
1,9,9,williad01w,F-C,77.0,170,USC,,1977-02-15,
6,7,2,willian01w,G,72.0,149,Illinois,,1983-07-21,
1,1,1,willibe01w,G,69.0,145,Texas,,1965-11-09,
5,10,6,willile01w,F,72.0,200,Auburn,,1981-02-10,
3,3,1,willile02w,G-F,71.0,155,DePaul,,1979-07-04,
7,10,4,willili01w,G,71.0,170,UCLA,,1984-06-13,
1,6,6,willina01w,F-C,74.0,210,UCLA,,1970-11-30,
1,4,4,williri01w,G,66.0,135,Connecticut,,1976-01-14,
4,4,1,willish01w,G,66.0,135,Oregon,,1980-04-14,
1,1,1,willita01w,G,71.0,170,Auburn,,1974-07-23,
5,5,1,willito01w,G,68.0,138,Texas A&M,,1982-01-11,
2,2,1,williwe01w,G,67.0,141,Arkansas,,1978-11-18,
1,1,1,wilsoam01w,F,71.0,176,Louisiana Tech,,1977-02-06,
10,10,1,wirthch01w,F,73.0,185,Vanderbilt,,1987-04-18,
10,10,1,wisdoli01w,F,74.0,186,Purdue,,1986-05-26,
1,4,4,witheso01w,G,70.0,145,Florida,,1969-07-06,
1,3,3,wolteka01w,C,79.0,227,Connecticut,,1975-08-15,
2,2,1,wolvean01w,F-C,75.0,205,Oregon,,1978-12-08,
5,6,2,wrighsh01w,F,70.0,155,Purdue,,1981-09-21,
6,10,5,wrighta01w,G,71.0,165,Penn State,,1983-11-20,
2,10,9,wyckobr01w,F,73.0,183,Florida State,,1980-03-30,
2,2,1,wynneda01w,F,74.0,175,Seton Hall,,1975-02-02,
3,4,2,yamasli01w,G,73.0,190,Stanford,,1980-06-02,
4,5,2,yilmane01w,F-C,76.0,193,,,1980-06-06,
2,3,2,youngca01w,G,69.0,175,Auburn,,1969-07-28,
7,10,4,youngso01w,F,73.0,165,Baylor,,1983-12-15,
9,10,2,youngta01w,F,74.0,166,James Madison,,1986-10-30,
1,3,3,zakalok01w,C,78.0,174,,,1977-12-18,
6,6,1,zarafr01w,G,70.0,146,,,1976-12-08,
10,10,1,zellosh01w,G,70.0,155,Pittsburgh,,1986-08-28,
4,4,1,zirkozu01w,G,69.0,145,,,1980-06-06,
9,9,1,zollsh01w,G,67.0,148,Virginia,,1986-07-11,
